student_id,date,time,status,class_type,instructor_name,lesson,mission,activity,adcoin,absence_reason
ADV23002,2022-03-25,11:00,present,Physical,,,,,,
ADV23007,2022-06-11,11:00,present,Physical,,,,,,
ADV0056,2022-06-11,15:30,present,Physical,,,,,,
ADV23007,2022-06-18,11:00,present,Physical,,,,,,
ADV0056,2022-06-18,15:30,present,Physical,,,,,,
ADV23007,2022-06-25,11:00,present,Physical,,,,,,
ADV0056,2022-06-25,15:30,present,Physical,,,,,,
ADV23007,2022-07-02,11:00,present,Physical,,,,,,
ADV23079,2022-07-02,14:00,present,Physical,,,,,,
ADV0056,2022-07-02,15:30,present,Physical,,,,,,
ADV23007,2022-07-09,11:00,present,Physical,,,,,,
ADV23079,2022-07-09,14:00,present,Physical,,,,,,
ADV0056,2022-07-09,15:30,present,Physical,,,,,,
ADV23011,2022-07-10,14:00,present,Physical,,,,,,
ADV23007,2022-07-16,11:00,present,Physical,,,,,,
ADV23079,2022-07-16,14:00,present,Physical,,,,,,
ADV0056,2022-07-16,15:30,present,Physical,,,,,,
ADV23011,2022-07-17,14:00,present,Physical,,,,,,
ADV23007,2022-07-23,11:00,present,Physical,,,,,,
ADV23012,2022-07-23,14:00,present,Physical,,,,,,
ADV23079,2022-07-23,14:00,present,Physical,,,,,,
ADV0056,2022-07-23,15:30,present,Physical,,,,,,
ADV23011,2022-07-24,14:00,present,Physical,,,,,,
ADV23007,2022-07-30,11:00,present,Physical,,,,,,
ADV23012,2022-07-30,14:00,present,Physical,,,,,,
ADV23079,2022-07-30,14:00,present,Physical,,,,,,
ADV0056,2022-07-30,15:30,present,Physical,,,,,,
ADV23011,2022-07-31,14:00,present,Physical,,,,,,
ADV23011,2022-08-06,14:00,present,Physical,,,,,,
ADV23079,2022-08-06,14:00,present,Physical,,,,,,
ADV0056,2022-08-06,15:30,present,Physical,,,,,,
ADV23007,2022-08-13,11:00,present,Physical,,,,,,
ADV23011,2022-08-13,14:00,present,Physical,,,,,,
ADV23079,2022-08-13,14:00,present,Physical,,,,,,
ADV0056,2022-08-13,15:30,present,Physical,,,,,,
ADV23012,2022-08-14,14:00,present,Physical,,,,,,
ADV23007,2022-08-20,11:00,present,Physical,,,,,,
ADV23011,2022-08-20,14:00,present,Physical,,,,,,
ADV23012,2022-08-20,14:00,present,Physical,,,,,,
ADV23079,2022-08-20,14:00,present,Physical,,,,,,
ADV0056,2022-08-20,15:30,present,Physical,,,,,,
ADV23011,2022-08-27,14:00,present,Physical,,,,,,
ADV23079,2022-08-27,14:00,present,Physical,,,,,,
ADV23021,2022-08-28,12:00,present,Physical,,,,,,
ADV23012,2022-08-28,14:00,present,Physical,,,,,,
ADV23007,2022-09-03,11:00,present,Physical,,,,,,
ADV23021,2022-09-03,12:00,present,Physical,,,,,,
ADV23012,2022-09-03,14:00,present,Physical,,,,,,
ADV23007,2022-09-10,11:00,present,Physical,,,,,,
ADV23079,2022-09-10,14:00,present,Physical,,,,,,
ADV23021,2022-09-11,12:00,present,Physical,,,,,,
ADV0056,2022-09-11,15:30,present,Physical,,,,,,
ADV23079,2022-09-17,14:00,present,Physical,,,,,,
ADV23021,2022-09-18,12:00,present,Physical,,,,,,
ADV23012,2022-09-18,14:00,present,Physical,,,,,,
ADV0056,2022-09-18,15:30,present,Physical,,,,,,
ADV23002,2022-09-24,11:00,present,Physical,,,,,,
ADV23007,2022-09-24,11:00,present,Physical,,,,,,
ADV23021,2022-09-24,12:00,present,Physical,,,,,,
ADV23079,2022-09-24,14:00,present,Physical,,,,,,
ADV0056,2022-09-24,15:30,present,Physical,,,,,,
ADV23012,2022-09-25,14:00,present,Physical,,,,,,
ADV23002,2022-10-01,11:00,present,Physical,,,,,,
ADV23007,2022-10-01,11:00,present,Physical,,,,,,
ADV23012,2022-10-01,14:00,present,Physical,,,,,,
ADV23079,2022-10-01,14:00,present,Physical,,,,,,
ADV23021,2022-10-02,12:00,present,Physical,,,,,,
ADV0056,2022-10-02,15:30,present,Physical,,,,,,
ADV23002,2022-10-08,11:00,present,Physical,,,,,,
ADV23021,2022-10-08,12:00,present,Physical,,,,,,
ADV23079,2022-10-08,14:00,present,Physical,,,,,,
ADV23079,2022-10-09,14:00,present,Physical,,,,,,
ADV0056,2022-10-09,15:30,present,Physical,,,,,,
ADV23002,2022-10-15,11:00,present,Physical,,,,,,
ADV23012,2022-10-15,14:00,present,Physical,,,,,,
ADV23079,2022-10-15,14:00,present,Physical,,,,,,
ADV23021,2022-10-16,12:00,present,Physical,,,,,,
ADV0056,2022-10-16,15:30,present,Physical,,,,,,
ADV23002,2022-10-22,11:00,present,Physical,,,,,,
ADV23007,2022-10-22,11:00,present,Physical,,,,,,
ADV23012,2022-10-22,14:00,present,Physical,,,,,,
ADV23079,2022-10-22,14:00,present,Physical,,,,,,
ADV23021,2022-10-23,12:00,present,Physical,,,,,,
ADV0056,2022-10-23,15:30,present,Physical,,,,,,
ADV23002,2022-10-29,11:00,present,Physical,,,,,,
ADV23007,2022-10-29,11:00,present,Physical,,,,,,
ADV23012,2022-10-29,14:00,present,Physical,,,,,,
ADV23079,2022-10-29,14:00,present,Physical,,,,,,
ADV23021,2022-10-30,12:00,present,Physical,,,,,,
ADV23002,2022-11-05,11:00,present,Physical,,,,,,
ADV23007,2022-11-05,11:00,present,Physical,,,,,,
ADV23011,2022-11-05,14:00,present,Physical,,,,,,
ADV23012,2022-11-05,14:00,present,Physical,,,,,,
ADV23021,2022-11-06,12:00,present,Physical,,,,,,
ADV0056,2022-11-06,15:30,present,Physical,,,,,,
ADV23007,2022-11-12,11:00,present,Physical,,,,,,
ADV23011,2022-11-12,14:00,present,Physical,,,,,,
ADV23021,2022-11-13,12:00,present,Physical,,,,,,
ADV0056,2022-11-13,15:30,present,Physical,,,,,,
ADV23007,2022-11-20,11:00,present,Physical,,,,,,
ADV23011,2022-11-20,14:00,present,Physical,,,,,,
ADV0056,2022-11-20,15:30,present,Physical,,,,,,
ADV23002,2022-11-26,11:00,present,Physical,,,,,,
ADV23007,2022-11-26,11:00,present,Physical,,,,,,
ADV23021,2022-11-26,12:00,present,Physical,,,,,,
ADV23011,2022-11-26,14:00,present,Physical,,,,,,
ADV0056,2022-11-27,15:30,present,Physical,,,,,,
ADV23007,2022-12-03,11:00,present,Physical,,,,,,
ADV23011,2022-12-03,14:00,present,Physical,,,,,,
ADV23012,2022-12-03,14:00,present,Physical,,,,,,
ADV23021,2022-12-04,12:00,present,Physical,,,,,,
ADV0056,2022-12-04,15:30,present,Physical,,,,,,
ADV23002,2022-12-10,11:00,present,Physical,,,,,,
ADV23011,2022-12-10,14:00,present,Physical,,,,,,
ADV23012,2022-12-10,14:00,present,Physical,,,,,,
ADV23002,2022-12-11,11:00,present,Physical,,,,,,
ADV23007,2022-12-11,11:00,present,Physical,,,,,,
ADV23021,2022-12-11,12:00,present,Physical,,,,,,
ADV23002,2022-12-18,11:00,present,Physical,,,,,,
ADV23007,2022-12-18,11:00,present,Physical,,,,,,
ADV23021,2022-12-18,12:00,present,Physical,,,,,,
ADV23007,2022-12-24,11:00,present,Physical,,,,,,
ADV23012,2022-12-24,14:00,present,Physical,,,,,,
ADV23021,2022-12-25,12:00,present,Physical,,,,,,
ADV23002,2022-12-31,11:00,present,Physical,,,,,,
ADV23007,2022-12-31,11:00,present,Physical,,,,,,
ADV23011,2022-12-31,14:00,present,Physical,,,,,,
ADV0056,2022-12-31,15:30,present,Physical,,,,,,
ADV23002,2023-01-07,11:00,present,Physical,,,,,,
ADV23007,2023-01-07,11:00,present,Physical,,,,,,
ADV23011,2023-01-07,14:00,present,Physical,,,,,,
ADV23012,2023-01-07,14:00,present,Physical,,,,,,
ADV23018,2023-01-08,09:00,present,Physical,,,,,,
ADV23021,2023-01-08,12:00,present,Physical,,,,,,
ADV23007,2023-01-14,11:00,present,Physical,,,,,,
ADV23011,2023-01-14,14:00,present,Physical,,,,,,
ADV23012,2023-01-14,14:00,present,Physical,,,,,,
ADV23018,2023-01-15,09:00,present,Physical,,,,,,
ADV23021,2023-01-15,12:00,present,Physical,,,,,,
ADV0056,2023-01-15,15:30,present,Physical,,,,,,
ADV23007,2023-01-28,11:00,present,Physical,,,,,,
ADV23011,2023-01-28,14:00,present,Physical,,,,,,
ADV23012,2023-01-28,14:00,present,Physical,,,,,,
ADV23018,2023-01-29,09:00,present,Physical,,,,,,
ADV23021,2023-01-29,12:00,present,Physical,,,,,,
ADV0045,2023-02-04,09:00,present,Physical,,,,,,
ADV23002,2023-02-04,11:00,present,Physical,,,,,,
ADV23007,2023-02-04,11:00,present,Physical,,,,,,
ADV23008,2023-02-04,11:00,present,Physical,,,,,,
ADV23011,2023-02-04,14:00,present,Physical,,,,,,
ADV23018,2023-02-05,09:00,present,Physical,,,,,,
ADV23021,2023-02-05,12:00,present,Physical,,,,,,
ADV0056,2023-02-05,15:30,present,Physical,,,,,,
ADV0045,2023-02-11,09:00,present,Physical,,,,,,
ADV23002,2023-02-11,11:00,present,Physical,,,,,,
ADV23007,2023-02-11,11:00,present,Physical,,,,,,
ADV23008,2023-02-11,11:00,present,Physical,,,,,,
ADV23011,2023-02-11,14:00,present,Physical,,,,,,
ADV23012,2023-02-11,14:00,present,Physical,,,,,,
ADV0056,2023-02-11,15:30,present,Physical,,,,,,
ADV23014,2023-02-11,15:30,present,Physical,,,,,,
ADV23015,2023-02-11,15:30,present,Physical,,,,,,
ADV23018,2023-02-12,09:00,present,Physical,,,,,,
ADV23021,2023-02-12,12:00,present,Physical,,,,,,
ADV0045,2023-02-18,09:00,present,Physical,,,,,,
ADV23008,2023-02-18,11:00,present,Physical,,,,,,
ADV23002,2023-02-18,11:00,present,Physical,,,,,,
ADV23007,2023-02-18,11:00,present,Physical,,,,,,
ADV23011,2023-02-18,14:00,present,Physical,,,,,,
ADV23018,2023-02-19,09:00,present,Physical,,,,,,
