student_id,date,time,status,class_type,instructor_name,lesson,mission,activity,adcoin,absence_reason
ADV23005,2023-10-07,11:00,present,Physical,Jia Xi,,,,,
ADV23006,2023-10-07,11:00,present,Physical,Jia Xi,,,,,
ADV23007,2023-10-07,11:00,present,Physical,Aljay,,,,,
ADV23008,2023-10-07,11:00,present,Physical,Aljay,,,,,
ADV23009,2023-10-07,13:00,present,Physical,Aljay,,,,,
ADV23011,2023-10-07,14:00,present,Physical,Jia Xi,,,,,
ADV23013,2023-10-07,14:00,present,Physical,Aljay,,,Build Blast Robot,,
ADV23023,2023-10-07,14:00,present,Physical,Jia Xi,,,,,
ADV23024,2023-10-07,14:00,present,Physical,Jia Xi,,,,,
ADV23027,2023-10-07,14:00,present,Physical,Jia Xi,,,Robotics First Class,,
ADV23028,2023-10-07,14:00,present,Physical,Jia Xi,,,Robotics First Class,,
ADV23041,2023-10-07,14:00,present,Physical,Aljay,,,,,
ADV0056,2023-10-07,15:30,present,Physical,Jia Xi,,,,,
ADV23014,2023-10-07,15:30,present,Physical,Jia Xi,,,,,
ADV23015,2023-10-07,15:30,present,Physical,Jia Xi,,,,,
ADV23048,2023-10-07,15:30,present,Physical,Aljay,,,,,
ADV23049,2023-10-07,15:30,present,Physical,Aljay,,,,,
ADV23034,2023-10-07,16:00,present,Online,Aljay,,,,,
ADV0055,2023-10-07,16:00,present,Physical,Aljay,,,Minecraft Building - Single Storey House,,
ADV23016,2023-10-08,09:00,present,Physical,Tong En,,,,,
ADV23017,2023-10-08,09:00,present,Physical,Jia Xi,,,,,
ADV23051,2023-10-08,10:00,present,Physical,Tong En,,,,,
ADV23050,2023-10-08,10:30,present,Physical,Aljay,,,,,
ADV23019,2023-10-08,11:00,present,Physical,Jia Xi,,,,,
ADV23020,2023-10-08,11:00,present,Physical,Jia Xi,,,,,
ADV23021,2023-10-08,12:00,present,Physical,Jia Xi,,,,,
ADV23022,2023-10-08,14:00,present,Physical,Aljay,,,,,
ADV0014,2023-10-08,14:00,present,Physical,Jia Xi,,,,,
ADV23012,2023-10-08,14:00,present,Physical,Jia Xi,,,,,
ADV23040,2023-10-08,15:00,present,Physical,Aljay,,,,,
ADV23023,2023-10-08,16:00,present,Physical,Jia Xi,,,,,
ADV23029,2023-10-10,20:30,present,Online,Aljay,,,Replacement on Wed - Tower Turret,,
ADV23030,2023-10-12,19:00,present,Online,Aljay,,,Tower Turret,,
ADV23050,2023-10-13,20:30,present,Online,Aljay,,,C++ Hote Management System,,
ADV23043,2023-10-13,21:00,present,Online,Tiffany,,,,,
ADV23045,2023-10-14,09:00,present,Physical,Aljay,,,Python Guessing Game,,
