student_id,amount,status,payment_method,paid_at,program_name,package_type,package_duration,receipt_seq,notes
ADV0057,70.00,paid,,2023-02-17,Scratch,,,,old ticket TK-230217-001
ADV23030,202.50,paid,,2023-02-18,Scratch,,,,old ticket TK-230218-001
ADV23012,513.00,paid,,2023-02-20,Lego EV3 Robotics,,,,old ticket TK-230220-001
ADV0075,90.00,paid,,2023-02-24,Scratch,,,,old ticket TK-230224-001
ADV23001,180.00,paid,,2023-02-25,Lego EV3 Robotics,,,,old ticket TK-230225-001
ADV23036,240.00,paid,,2023-02-25,Scratch,,,,old ticket TK-230225-002
ADV0045,150.00,paid,,2023-02-27,Lego EV3 Robotics,,,,old ticket TK-230227-001
ADV23004,324.00,paid,,2023-02-28,Lego EV3 Robotics,,,,old ticket TK-230228-001
ADV23005,324.00,paid,,2023-02-28,Lego EV3 Robotics,,,,old ticket TK-230228-002
ADV23006,324.00,paid,,2023-02-28,Lego EV3 Robotics,,,,old ticket TK-230228-003
ADV23035,120.00,paid,,2023-03-01,Scratch,,,,old ticket TK-230301-001
ADV23011,180.00,paid,,2023-03-01,Lego EV3 Robotics,,,,old ticket TK-230301-002
ADV23053,600.00,paid,,2023-03-02,,,,,old ticket TK-230302-001
ADV23019,180.00,paid,,2023-03-03,Lego EV3 Robotics,,,,old ticket TK-230303-001
ADV23020,180.00,paid,,2023-03-03,Lego EV3 Robotics,,,,old ticket TK-230303-002
ADV23018,180.00,paid,,2023-03-05,Lego EV3 Robotics,,,,old ticket TK-230305-001
ADV23021,360.00,paid,,2023-03-05,Lego EV3 Robotics,,,,old ticket TK-230305-002
ADV23021,120.00,paid,,2023-03-05,Scratch,,,,old ticket TK-230305-003
ADV23008,180.00,paid,,2023-03-05,Lego EV3 Robotics,,,,old ticket TK-230305-004
ADV23007,160.00,paid,,2023-03-12,Lego EV3 Robotics,,,,old ticket TK-230312-001
ADV23013,180.00,paid,,2023-03-20,Lego EV3 Robotics,,,,old ticket TK-230320-001
ADV23029,240.00,paid,,2023-03-25,Scratch,,,,old ticket TK-230325-001
ADV0045,150.00,paid,,2023-03-28,Lego EV3 Robotics,,,,old ticket TK-230328-001
ADV0057,70.00,paid,,2023-03-31,Scratch,,,,old ticket TK-230331-001
ADV0075,90.00,paid,,2023-04-01,Scratch,,,,old ticket TK-230401-001
ADV23030,45.00,paid,,2023-04-02,Scratch,,,,old ticket TK-230402-001
ADV23035,120.00,paid,,2023-04-03,Scratch,,,,old ticket TK-230403-001
ADV23034,114.00,paid,,2023-04-04,Scratch,,,,old ticket TK-230404-001
ADV23001,180.00,paid,,2023-04-05,Lego EV3 Robotics,,,,old ticket TK-230405-001
ADV23011,180.00,paid,,2023-04-07,Lego EV3 Robotics,,,,old ticket TK-230407-001
ADV23008,180.00,paid,,2023-04-08,Lego EV3 Robotics,,,,old ticket TK-230408-001
ADV23019,180.00,paid,,2023-04-08,Lego EV3 Robotics,,,,old ticket TK-230408-002
ADV23020,180.00,paid,,2023-04-08,Lego EV3 Robotics,,,,old ticket TK-230408-003
ADV23018,180.00,paid,,2023-04-09,Lego EV3 Robotics,,,,old ticket TK-230409-001
ADV23052,85.50,paid,,2023-04-10,Scratch,,,,old ticket TK-230410-001
ADV23034,114.00,paid,,2023-04-17,Scratch,,,,old ticket TK-230417-001
ADV0075,90.00,paid,,2023-04-21,Scratch,,,,old ticket TK-230421-002
ADV0045,150.00,paid,,2023-04-26,Lego EV3 Robotics,,,,old ticket TK-230426-001
ADV23036,120.00,paid,,2023-04-27,Scratch,,,,old ticket TK-230427-001
ADV0057,70.00,paid,,2023-04-28,Scratch,,,,old ticket TK-230428-001
ADV23014,256.50,paid,,2023-04-28,Lego EV3 Robotics,,,,old ticket TK-230428-002
ADV23015,256.50,paid,,2023-04-28,Lego EV3 Robotics,,,,old ticket TK-230428-003
ADV23035,120.00,paid,,2023-05-02,Scratch,,,,old ticket TK-230502-001
ADV23011,180.00,paid,,2023-05-02,Lego EV3 Robotics,,,,old ticket TK-230502-002
ADV23016,180.00,paid,,2023-05-02,Lego EV3 Robotics,,,,old ticket TK-230502-003
ADV23017,180.00,paid,,2023-05-02,Lego EV3 Robotics,,,,old ticket TK-230502-004
ADV23001,180.00,paid,,2023-05-03,Lego EV3 Robotics,,,,old ticket TK-230503-001
ADV23022,120.00,paid,,2023-05-08,Scratch,,,,old ticket TK-230508-001
ADV23078,180.00,paid,,2023-05-08,Lego EV3 Robotics,,,,old ticket TK-230508-002
ADV23004,324.00,paid,,2023-05-10,Lego EV3 Robotics,,,,old ticket TK-230510-001
ADV23005,324.00,paid,,2023-05-10,Lego EV3 Robotics,,,,old ticket TK-230510-002
ADV23006,324.00,paid,,2023-05-10,Lego EV3 Robotics,,,,old ticket TK-230510-003
ADV23032,270.00,paid,,2023-05-11,Scratch,,,,old ticket TK-230511-001
ADV23013,360.00,paid,,2023-05-13,Lego EV3 Robotics,,,,old ticket TK-230513-001
ADV23007,160.00,paid,,2023-05-14,Lego EV3 Robotics,,,,old ticket TK-230514-001
ADV23034,114.00,paid,,2023-05-15,Scratch,,,,old ticket TK-230515-001
ADV0075,90.00,paid,,2023-05-19,Scratch,,,,old ticket TK-230519-001
ADV23044,50.00,paid,,2023-05-19,,,,,old ticket TK-230519-002
ADV23046,50.00,paid,,2023-05-20,,,,,old ticket TK-230520-001
ADV23047,50.00,paid,,2023-05-20,,,,,old ticket TK-230520-002
ADV23054,98.00,paid,,2023-05-20,,,,,old ticket TK-230520-003
ADV23002,513.00,paid,,2023-05-20,Lego EV3 Robotics,,,,old ticket TK-230520-004
ADV23018,180.00,paid,,2023-05-21,Lego EV3 Robotics,,,,old ticket TK-230521-001
ADV23066,288.00,paid,,2023-05-22,,,,,old ticket TK-230522-001
ADV23064,50.00,paid,,2023-05-22,,,,,old ticket TK-230522-002
ADV23065,50.00,paid,,2023-05-22,,,,,old ticket TK-230522-003
ADV23056,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-001
ADV23057,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-002
ADV23058,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-003
ADV23055,288.00,paid,,2023-05-23,,,,,old ticket TK-230523-004
ADV23059,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-005
ADV23060,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-006
ADV23061,98.00,paid,,2023-05-23,,,,,old ticket TK-230523-007
ADV23062,98.00,paid,,2023-05-24,,,,,old ticket TK-230524-001
ADV23069,288.00,paid,,2023-05-25,,,,,old ticket TK-230525-001
ADV23023,120.00,paid,,2023-05-25,Scratch,,,,old ticket TK-230525-002
ADV23073,98.00,paid,,2023-05-25,,,,,old ticket TK-230525-003
ADV23071,98.00,paid,,2023-05-25,,,,,old ticket TK-230525-004
ADV23072,98.00,paid,,2023-05-26,,,,,old ticket TK-230526-001
ADV23070,98.00,paid,,2023-05-26,,,,,old ticket TK-230526-002
ADV0045,98.00,paid,,2023-05-26,,,,,old ticket TK-230526-003
ADV0045,150.00,paid,,2023-05-28,Lego EV3 Robotics,,,,old ticket TK-230528-001
ADV23029,240.00,paid,,2023-05-31,Scratch,,,,old ticket TK-230531-001
ADV23011,180.00,paid,,2023-06-02,Lego EV3 Robotics,,,,old ticket TK-230602-001
ADV23009,513.00,paid,,2023-06-03,Lego EV3 Robotics,,,,old ticket TK-230603-001
ADV23001,180.00,paid,,2023-06-05,Lego EV3 Robotics,,,,old ticket TK-230605-001
ADV23035,120.00,paid,,2023-06-06,Scratch,,,,old ticket TK-230606-001
ADV23034,120.00,paid,,2023-06-07,Scratch,,,,old ticket TK-230607-001
ADV23014,256.50,paid,,2023-06-09,Lego EV3 Robotics,,,,old ticket TK-230609-001
ADV23015,256.50,paid,,2023-06-09,Lego EV3 Robotics,,,,old ticket TK-230609-002
ADV23013,180.00,paid,,2023-06-10,Lego EV3 Robotics,,,,old ticket TK-230610-001
ADV23030,90.00,paid,,2023-06-10,Scratch,,,,old ticket TK-230610-002
ADV23007,160.00,paid,,2023-06-12,Lego EV3 Robotics,,,,old ticket TK-230612-001
ADV23036,240.00,paid,,2023-06-15,Scratch,,,,old ticket TK-230615-001
ADV23024,120.00,paid,,2023-06-20,Scratch,,,,old ticket TK-230620-001
ADV23003,180.00,paid,,2023-06-23,Lego EV3 Robotics,,,,old ticket TK-230623-001
ADV23018,180.00,paid,,2023-06-24,Lego EV3 Robotics,,,,old ticket TK-230624-001
ADV23012,513.00,paid,,2023-06-30,Lego EV3 Robotics,,,,old ticket TK-230630-001
ADV23008,180.00,paid,,2023-07-01,Lego EV3 Robotics,,,,old ticket TK-230701-001
ADV23023,120.00,paid,,2023-07-02,Scratch,,,,old ticket TK-230702-001
ADV23035,120.00,paid,,2023-07-03,Scratch,,,,old ticket TK-230703-001
ADV23034,120.00,paid,,2023-07-03,Scratch,,,,old ticket TK-230703-002
ADV0045,150.00,paid,,2023-07-03,Lego EV3 Robotics,,,,old ticket TK-230703-003
ADV23030,90.00,paid,,2023-07-04,Scratch,,,,old ticket TK-230704-001
ADV23001,180.00,paid,,2023-07-04,Lego EV3 Robotics,,,,old ticket TK-230704-002
ADV0056,240.00,paid,,2023-07-05,Lego EV3 Robotics,,,,old ticket TK-230705-001
ADV23011,180.00,paid,,2023-07-06,Lego EV3 Robotics,,,,old ticket TK-230706-001
