sender_id,sender_type,receiver_id,receiver_type,amount,type,date,description
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-06-11,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-06-11,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-06-18,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-06-18,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-06-25,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-06-25,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-07-02,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-07-02,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-07-09,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-07-09,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-07-10,Mission | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-07-16,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-07-16,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-07-17,Mission | by Aljay
advaspire@gmail.com,user,ADV23012,student,50,earned,2022-07-23,Mission | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-07-23,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-07-23,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-07-24,Mission | by Aljay
advaspire@gmail.com,user,ADV23012,student,50,earned,2022-07-30,Mission | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-07-30,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-07-30,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-07-31,Mission | by Aljay
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-08-06,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-08-06,Mission | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-08-13,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-08-13,Mission | Completed missions in class | by Aljay
advaspire@gmail.com,user,ADV23011,student,150,earned,2022-08-13,Mission | by Aljay
advaspire@gmail.com,user,ADV23012,student,50,earned,2022-08-14,Mission | by Aljay
advaspire@gmail.com,user,ADV23012,student,50,earned,2022-08-20,Mission | by Aljay
advaspire@gmail.com,user,ADV23007,student,100,earned,2022-08-20,Mission | Completed missions in class
advaspire@gmail.com,user,ADV0056,student,100,earned,2022-08-20,Mission | Completed missions in class | by Aljay
